"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of ANTICIPATION is this clip showing?","What level of ANTICIPATION is this clip showing?","What level of ANTICIPATION is this clip showing?"
"2026/02/13 6:26:59 PM CET","18-24","Male","1","Fear","5","Level 1 : Interest","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/13 6:29:05 PM CET","18-24","Male","3","Anger","5","Level 3 : Vigilance","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/13 6:29:12 PM CET","18-24","Male","2","Anger","4","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/13 6:32:41 PM CET","18-24","Male","2","Fear","4","Level 2 : Anticipation","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/13 6:39:47 PM CET","55-64","Female","4","Anger","5","Level 1 : Interest","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/13 6:43:31 PM CET","18-24","Male","3","Anger","4","Level 1 : Interest","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/13 6:55:49 PM CET","55-64","Male","3","Anger","5","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/13 7:43:20 PM CET","18-24","Male","2","Anger","5","Level 1 : Interest","Level 1 : Interest","Level 2 : Anticipation"
"2026/02/14 1:36:31 AM CET","25-34","Male","3","Anger","5","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/14 11:18:47 AM CET","18-24","Male","4","Anger","5","Level 1 : Interest","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/14 1:00:38 PM CET","18-24","Female","4","Fear","5","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/14 1:16:42 PM CET","35-44","Male","5","Anger","5","Level 1 : Interest","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/14 3:51:22 PM CET","18-24","Female","4","Anger","5","Level 1 : Interest","Level 1 : Interest","Level 3 : Vigilance"
"2026/02/14 6:33:44 PM CET","25-34","Female","1","Anger","5","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/14 7:57:48 PM CET","25-34","Female","2","Anger","5","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/15 1:35:03 PM CET","18-24","Female","1","Anger","4","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
"2026/02/15 4:44:22 PM CET","18-24","Male","1","None of the above","3","Level 1 : Interest","Level 1 : Interest","Level 2 : Anticipation"
"2026/02/18 8:21:23 PM CET","25-34","Male","5","Anger","5","Level 1 : Interest","Level 2 : Anticipation","Level 3 : Vigilance"
