"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di ASPETTATIVA è mostrato in questa clip?","Che livello di ASPETTATIVA è mostrato in questa clip?","Che livello di ASPETTATIVA è mostrato in questa clip?"
"2026/02/14 9:10:27 PM CET","18-24","Uomo","3","Paura","5","Livello 1 : Interesse","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/14 11:03:19 PM CET","55-64","Donna","1","Paura","5","Livello 1 : Interesse","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/14 11:05:11 PM CET","55-64","Donna","1","Paura","4","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
"2026/02/15 12:33:34 AM CET","55-64","Donna","1","Rabbia","1","Livello 1 : Interesse","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/15 12:35:23 AM CET","55-64","Donna","1","Rabbia","1","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
"2026/02/15 11:06:08 AM CET","55-64","Uomo","1","Paura","5","Livello 1 : Interesse","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/15 11:15:47 AM CET","25-34","Donna","2","Rabbia","4","Livello 1 : Interesse","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/15 12:12:26 PM CET","18-24","Donna","1","Rabbia","4","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
"2026/02/15 12:22:45 PM CET","18-24","Donna","1","Paura","3","Level 2 : Aspettativa","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/15 1:50:40 PM CET","55-64","Donna","1","Rabbia","5","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
"2026/02/16 8:29:14 AM CET","55-64","Uomo","2","Rabbia","5","Livello 1 : Interesse","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/16 12:01:19 PM CET","25-34","Uomo","1","Paura","5","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
"2026/02/16 12:10:02 PM CET","25-34","Uomo","3","Rabbia","5","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
"2026/02/17 2:03:48 PM CET","35-44","Uomo","3","Rabbia","5","Level 2 : Aspettativa","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/17 2:05:34 PM CET","25-34","Donna","3","Rabbia","5","Level 2 : Aspettativa","Livello 1 : Interesse","Level 3 : Vigilanza"
"2026/02/19 2:07:59 AM CET","25-34","Uomo","3","Rabbia","4","Livello 1 : Interesse","Level 2 : Aspettativa","Level 3 : Vigilanza"
