"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di DISGUSTO è mostrato in questa clip?","Che livello di DISGUSTO è mostrato in questa clip?","Che livello di DISGUSTO è mostrato in questa clip?"
"2026/02/14 7:45:51 PM CET","55-64","Uomo","4","Sorpresa","5","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/14 8:52:20 PM CET","65+","Donna","2","Sorpresa","4","Livello 3 : Ripugnanza","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/14 8:56:23 PM CET","65+","Donna","5","Sorpresa","4","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/14 11:14:16 PM CET","55-64","Donna","1","Sorpresa","5","Livello 3 : Ripugnanza","Livello 2 : Disgusto","Livello 1 : Noia"
"2026/02/15 9:45:15 AM CET","55-64","Donna","1","Aspettativa","5","Nessuna delle precedenti","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/15 9:47:43 AM CET","55-64","Donna","1","Sorpresa","5","Nessuna delle precedenti","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/15 10:00:50 AM CET","55-64","Uomo","1","Nessuna delle opzioni","5","Livello 3 : Ripugnanza","Livello 2 : Disgusto","Livello 1 : Noia"
"2026/02/15 10:03:09 AM CET","55-64","Uomo","1","Aspettativa","3","Livello 3 : Ripugnanza","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/15 10:49:04 AM CET","55-64","Uomo","2","Sorpresa","3","Livello 3 : Ripugnanza","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/15 1:14:43 PM CET","25-34","Donna","2","Aspettativa","5","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/15 1:22:05 PM CET","25-34","Uomo","1","Aspettativa","4","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/15 1:58:07 PM CET","35-44","Uomo","1","Sorpresa","3","Livello 3 : Ripugnanza","Livello 2 : Disgusto","Livello 1 : Noia"
"2026/02/15 3:22:53 PM CET","55-64","Uomo","2","Sorpresa","5","Livello 3 : Ripugnanza","Livello 3 : Ripugnanza","Nessuna delle precedenti"
"2026/02/16 11:59:29 AM CET","25-34","Uomo","1","Sorpresa","4","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/17 2:09:43 AM CET","25-34","Uomo","3","Sorpresa","3","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/17 2:12:33 AM CET","25-34","Uomo","3","Sorpresa","3","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
"2026/02/19 2:05:29 AM CET","25-34","Uomo","3","Aspettativa","4","Livello 2 : Disgusto","Livello 3 : Ripugnanza","Livello 1 : Noia"
