"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of FEAR is this clip showing?","What level of FEAR is this clip showing?","What level of FEAR is this clip showing?"
"2026/02/13 6:31:33 PM CET","25-34","Female","3","Surprise","4","Level 1 : Apprehension","Level 2 : Fear","None of the above"
"2026/02/13 6:42:41 PM CET","18-24","Male","2","Surprise","4","None of the above","Level 2 : Fear","Level 1 : Apprehension"
"2026/02/13 6:47:39 PM CET","55-64","Male","3","Disgust","3","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/13 6:48:03 PM CET","55-64","Female","4","Anger","5","Level 1 : Apprehension","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/13 6:50:57 PM CET","55-64","Female","4","Surprise","5","Level 1 : Apprehension","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/13 6:52:39 PM CET","18-24","Female","4","Disgust","5","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/13 7:53:41 PM CET","18-24","Female","3","Fear","4","Level 1 : Apprehension","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/13 10:33:17 PM CET","18-24","Male","4","Disgust","2","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/14 1:33:11 AM CET","25-34","Male","3","Disgust","5","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/14 7:58:26 AM CET","25-34","Male","2","Disgust","2","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/14 12:38:55 PM CET","18-24","Male","1","Surprise","4","Level 1 : Apprehension","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/14 4:42:34 PM CET","18-24","Male","4","None of the above","3","None of the above","Level 2 : Fear","Level 1 : Apprehension"
"2026/02/14 5:28:34 PM CET","18-24","Male","3","Fear","2","Level 3 : Terror","Level 2 : Fear","Level 1 : Apprehension"
"2026/02/14 7:02:19 PM CET","18-24","Male","2","Surprise","4","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/14 7:09:51 PM CET","18-24","Male","2","Surprise","3","Level 3 : Terror","Level 2 : Fear","Level 1 : Apprehension"
"2026/02/14 7:56:28 PM CET","25-34","Female","2","Disgust","4","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/15 1:14:49 AM CET","25-34","Female","5","Fear","4","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/15 10:51:15 AM CET","18-24","Male","1","Surprise","4","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/15 5:11:01 PM CET","25-34","Female","4","Anger","1","Level 3 : Terror","Level 2 : Fear","Level 1 : Apprehension"
"2026/02/15 5:38:55 PM CET","25-34","Female","3","Anger","2","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
"2026/02/16 10:02:00 AM CET","25-34","Male","4","Fear","1","Level 1 : Apprehension","Level 3 : Terror","Level 2 : Fear"
"2026/02/18 8:25:14 PM CET","25-34","Male","5","Disgust","5","Level 2 : Fear","Level 3 : Terror","Level 1 : Apprehension"
