"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di PAURA è mostrato in questa clip?","Che livello di PAURA è mostrato in questa clip?","Che livello di PAURA è mostrato in questa clip?"
"2026/02/14 8:02:11 PM CET","55-64","Donna","1","Sorpresa","5","Livello 3 : Terrore","Livello 1 : Apprensione","Livello 1 : Apprensione"
"2026/02/14 8:48:42 PM CET","25-34","Uomo","3","Rabbia","2","Livello 2 : Paura","Livello 1 : Apprensione","Nessuna delle precedenti"
"2026/02/14 8:50:13 PM CET","55-64","Uomo","4","Sorpresa","3","Livello 2 : Paura","Livello 2 : Paura","Livello 1 : Apprensione"
"2026/02/14 8:50:47 PM CET","65+","Donna","2","Aspettativa","3","Livello 2 : Paura","Livello 3 : Terrore","Livello 1 : Apprensione"
"2026/02/14 11:11:48 PM CET","55-64","Donna","1","Sorpresa","5","Livello 2 : Paura","Livello 3 : Terrore","Livello 1 : Apprensione"
"2026/02/15 10:58:59 AM CET","55-64","Donna","2","Aspettativa","3","Livello 1 : Apprensione","Livello 2 : Paura","Livello 1 : Apprensione"
"2026/02/15 11:23:14 AM CET","25-34","Donna","2","Disgusto","3","Nessuna delle precedenti","Livello 2 : Paura","Livello 1 : Apprensione"
"2026/02/15 12:31:48 PM CET","35-44","Uomo","1","Sorpresa","5","Livello 2 : Paura","Livello 3 : Terrore","Livello 1 : Apprensione"
"2026/02/15 1:14:11 PM CET","25-34","Uomo","1","Disgusto","2","Livello 2 : Paura","Livello 3 : Terrore","Livello 1 : Apprensione"
"2026/02/15 5:12:29 PM CET","25-34","Donna","2","Sorpresa","4","Livello 2 : Paura","Livello 3 : Terrore","Livello 1 : Apprensione"
"2026/02/16 1:41:29 AM CET","25-34","Donna","2","Rabbia","1","Livello 2 : Paura","Livello 3 : Terrore","Livello 1 : Apprensione"
"2026/02/16 2:00:37 PM CET","25-34","Uomo","1","Nessuna delle opzioni","1","Nessuna delle precedenti","Livello 2 : Paura","Livello 2 : Paura"
"2026/02/17 2:07:36 PM CET","55-64","Donna","4","Sorpresa","4","Livello 1 : Apprensione","Livello 2 : Paura","Livello 1 : Apprensione"
