"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of JOY is this clip showing?","What level of JOY is this clip showing?","What level of JOY is this clip showing?"
"2026/02/13 6:28:33 PM CET","18-24","Male","2","Fear","4","Level 2 : Joy","Level 1 : Serenity","Level 3 : Ecstasy"
"2026/02/13 6:29:05 PM CET","25-34","Female","4","Anger","4","Level 2 : Joy","Level 1 : Serenity","Level 3 : Ecstasy"
"2026/02/13 6:33:44 PM CET","18-24","Male","1","Anticipation","3","Level 2 : Joy","Level 2 : Joy","Level 2 : Joy"
"2026/02/13 6:37:04 PM CET","18-24","Male","5","None of the above","2","Level 2 : Joy","Level 1 : Serenity","Level 1 : Serenity"
"2026/02/13 6:44:07 PM CET","18-24","Female","4","Fear","5","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/13 7:06:45 PM CET","18-24","Male","2","Fear","3","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/13 7:33:38 PM CET","25-34","Male","4","Fear","4","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/13 7:54:37 PM CET","55-64","Male","4","Fear","5","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/13 8:18:53 PM CET","18-24","Male","3","Fear","5","Level 3 : Ecstasy","Level 2 : Joy","None of the above"
"2026/02/14 1:16:35 AM CET","25-34","Male","3","Fear","5","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/14 1:44:35 AM CET","18-24","Male","2","Fear","2","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/14 9:02:09 AM CET","18-24","Female","3","Fear","4","Level 2 : Joy","Level 1 : Serenity","Level 3 : Ecstasy"
"2026/02/14 4:19:55 PM CET","25-34","Female","3","Anger","4","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/14 4:24:36 PM CET","25-34","Female","4","Fear","5","Level 2 : Joy","Level 1 : Serenity","Level 3 : Ecstasy"
"2026/02/14 7:53:20 PM CET","25-34","Female","2","Fear","4","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/14 8:55:06 PM CET","18-24","Female","3","Joy","4","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
"2026/02/15 1:17:54 AM CET","25-34","Female","5","Fear","5","Level 2 : Joy","Level 1 : Serenity","Level 3 : Ecstasy"
"2026/02/18 7:02:02 PM CET","25-34","Male","3","Fear","3","Level 3 : Ecstasy","Level 2 : Joy","None of the above"
"2026/02/18 7:35:46 PM CET","25-34","Male","5","Fear","5","Level 3 : Ecstasy","Level 1 : Serenity","Level 2 : Joy"
