"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di GIOIA è mostrato in questa clip?","Che livello di GIOIA è mostrato in questa clip?","Che livello di GIOIA è mostrato in questa clip?"
"2026/02/14 11:19:41 PM CET","55-64","Uomo","1","Nessuna delle opzioni","1","Livello 2 : Gioia","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/15 10:05:37 AM CET","55-64","Uomo","1","Paura","5","Livello 2 : Gioia","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/15 10:11:03 AM CET","55-64","Donna","1","Paura","5","Livello 2 : Gioia","Livello 2 : Gioia","Livello 3 : Estasi"
"2026/02/15 11:25:11 AM CET","25-34","Donna","2","Paura","5","Livello 2 : Gioia","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/15 12:45:45 PM CET","18-24","Donna","1","Rabbia","2","Livello 2 : Gioia","Livello 1 : Serenità","Livello 3 : Estasi"
"2026/02/15 2:48:57 PM CET","25-34","Donna","2","Rabbia","3","Livello 2 : Gioia","Livello 1 : Serenità","Livello 3 : Estasi"
"2026/02/15 5:15:17 PM CET","25-34","Donna","1","Paura","5","Livello 3 : Estasi","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/16 12:03:27 PM CET","25-34","Uomo","1","Nessuna delle opzioni","1","Livello 3 : Estasi","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/17 12:11:18 PM CET","25-34","Uomo","3","Paura","5","Livello 3 : Estasi","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/17 8:34:53 PM CET","18-24","Donna","2","Rabbia","4","Livello 3 : Estasi","Livello 1 : Serenità","Livello 2 : Gioia"
"2026/02/19 2:11:15 AM CET","25-34","Uomo","3","Paura","5","Livello 3 : Estasi","Livello 1 : Serenità","Livello 2 : Gioia"
