"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of SADNESS is this clip showing?","What level of SADNESS is this clip showing?","What level of SADNESS is this clip showing?"
"2026/02/13 6:29:47 PM CET","25-34","Male","3","Joy","5","Level 3 : Grief","Level 1 : Pensiveness","None of the above"
"2026/02/13 6:44:21 PM CET","25-34","Female","1","Anger","4","Level 3 : Grief","Level 1 : Pensiveness","None of the above"
"2026/02/13 6:46:26 PM CET","18-24","Female","4","Joy","5","Level 3 : Grief","Level 2 : Sadness","Level 1 : Pensiveness"
"2026/02/13 6:49:59 PM CET","55-64","Male","3","Surprise","3","Level 3 : Grief","Level 1 : Pensiveness","Level 1 : Pensiveness"
"2026/02/13 7:04:15 PM CET","18-24","Male","2","Fear","4","Level 3 : Grief","Level 1 : Pensiveness","None of the above"
"2026/02/13 10:00:08 PM CET","18-24","Male","3","Joy","3","Level 2 : Sadness","None of the above","Level 3 : Grief"
"2026/02/13 11:35:33 PM CET","25-34","Female","2","Anger","4","Level 3 : Grief","Level 1 : Pensiveness","None of the above"
"2026/02/14 1:23:13 AM CET","25-34","Male","3","Joy","5","Level 3 : Grief","Level 1 : Pensiveness","Level 2 : Sadness"
"2026/02/14 11:33:30 AM CET","18-24","Male","4","Fear","4","None of the above","Level 3 : Grief","Level 2 : Sadness"
"2026/02/14 11:34:23 AM CET","18-24","Male","4","Fear","4","None of the above","Level 3 : Grief","Level 1 : Pensiveness"
"2026/02/14 4:21:33 PM CET","18-24","Male","1","Surprise","4","Level 3 : Grief","Level 1 : Pensiveness","Level 2 : Sadness"
"2026/02/14 4:36:59 PM CET","25-34","Female","2","Joy","4","Level 3 : Grief","Level 1 : Pensiveness","Level 2 : Sadness"
"2026/02/14 7:50:51 PM CET","25-34","Female","2","Disgust","5","Level 3 : Grief","Level 2 : Sadness","Level 1 : Pensiveness"
"2026/02/14 10:09:30 PM CET","55-64","Female","3","Fear","5","Level 3 : Grief","Level 1 : Pensiveness","Level 2 : Sadness"
"2026/02/17 8:29:02 AM CET","18-24","Male","3","Joy","4","Level 3 : Grief","Level 2 : Sadness","Level 1 : Pensiveness"
"2026/02/18 7:38:03 PM CET","25-34","Male","5","Joy","5","Level 3 : Grief","Level 2 : Sadness","Level 1 : Pensiveness"
