"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di TRISTEZZA è mostrato in questa clip?","Che livello di TRISTEZZA è mostrato in questa clip?","Che livello di TRISTEZZA è mostrato in questa clip?"
"2026/02/14 8:41:18 PM CET","55-64","Donna","1","Nessuna delle opzioni","1","Livello 2 : Tristezza","Nessuna delle precedenti","Livello 1 : Pensierosità"
"2026/02/14 8:46:57 PM CET","65+","Donna","2","Sorpresa","4","Livello 3 : Angoscia","Livello 1 : Pensierosità","Nessuna delle precedenti"
"2026/02/14 8:53:50 PM CET","65+","Donna","2","Gioia","4","Livello 3 : Angoscia","Livello 1 : Pensierosità","Nessuna delle precedenti"
"2026/02/14 11:08:26 PM CET","55-64","Donna","1","Gioia","5","Livello 2 : Tristezza","Livello 1 : Pensierosità","Livello 1 : Pensierosità"
"2026/02/14 11:16:32 PM CET","55-64","Donna","1","Gioia","5","Livello 3 : Angoscia","Nessuna delle precedenti","Livello 2 : Tristezza"
"2026/02/15 10:13:06 AM CET","55-64","Uomo","1","Gioia","3","Livello 3 : Angoscia","Livello 2 : Tristezza","Livello 1 : Pensierosità"
"2026/02/15 11:01:36 AM CET","25-34","Donna","2","Tristezza","4","Livello 3 : Angoscia","Livello 2 : Tristezza","Livello 2 : Tristezza"
"2026/02/15 4:42:06 PM CET","25-34","Donna","1","Sorpresa","5","Livello 2 : Tristezza","Livello 1 : Pensierosità","Livello 1 : Pensierosità"
"2026/02/16 11:57:16 AM CET","25-34","Uomo","3","Gioia","5","Livello 3 : Angoscia","Livello 2 : Tristezza","Livello 1 : Pensierosità"
"2026/02/16 12:15:46 PM CET","25-34","Uomo","3","Gioia","5","Livello 3 : Angoscia","Livello 2 : Tristezza","Livello 1 : Pensierosità"
"2026/02/16 1:22:25 PM CET","25-34","Donna","1","Rabbia","2","Livello 2 : Tristezza","Livello 1 : Pensierosità","Livello 3 : Angoscia"
"2026/02/17 10:40:17 AM CET","25-34","Uomo","2","Rabbia","4","Livello 2 : Tristezza","Livello 3 : Angoscia","Livello 1 : Pensierosità"
