"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of SURPRISE is this clip showing?","What level of SURPRISE is this clip showing?","What level of SURPRISE is this clip showing?"
"2026/02/13 6:41:23 PM CET","18-24","Female","4","Sadness","3","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/13 7:13:04 PM CET","18-24","Female","2","Disgust","4","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/13 7:49:49 PM CET","55-64","Male","4","Sadness","3","Level 3 : Amazement","Level 1 : Distraction","Level 2 : Surprise"
"2026/02/14 1:12:13 AM CET","25-34","Male","3","Disgust","5","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/14 11:53:56 AM CET","18-24","Male","3","Disgust","3","Level 1 : Distraction","Level 2 : Surprise","Level 3 : Amazement"
"2026/02/14 4:38:53 PM CET","25-34","Female","2","Sadness","5","Level 2 : Surprise","Level 2 : Surprise","Level 3 : Amazement"
"2026/02/14 5:22:13 PM CET","18-24","Female","4","Fear","1","Level 1 : Distraction","Level 3 : Amazement","Level 2 : Surprise"
"2026/02/14 6:37:34 PM CET","25-34","Female","2","Disgust","3","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/14 6:56:42 PM CET","65+","Male","1","Anticipation","5","Level 1 : Distraction","Level 2 : Surprise","Level 3 : Amazement"
"2026/02/14 7:59:13 PM CET","25-34","Female","2","Disgust","4","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/15 1:51:01 PM CET","18-24","Male","3","Fear","1","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/15 1:51:30 PM CET","18-24","Male","3","Fear","1","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/17 2:36:13 PM CET","18-24","Male","5","Fear","4","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
"2026/02/18 8:23:01 PM CET","25-34","Male","5","Sadness","3","Level 2 : Surprise","Level 1 : Distraction","Level 3 : Amazement"
