"Informazioni cronologiche","How old are you?","What is your gender?","How familiar are you with robots?","Can you guess what emotion the robot is expressing in this clip?","Do you think this reaction is coherent with the action performed by the actor?","What level of ANGER is this clip showing?","What level of ANGER is this clip showing?","What level of ANGER is this clip showing?"
"2026/02/13 5:52:32 PM CET","25-34","I'd rather not say","2","Disgust","3","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/13 5:54:30 PM CET","35-44","Male","2","Anticipation","3","Level 1 : Annoyance","None of the above","Level 3 : Rage"
"2026/02/13 6:28:28 PM CET","18-24","Male","2","Fear","3","Level 1 : Annoyance","Level 2 : Anger","Level 3 : Rage"
"2026/02/13 6:34:10 PM CET","18-24","Female","3","Fear","3","Level 1 : Annoyance","Level 2 : Anger","Level 3 : Rage"
"2026/02/13 6:36:58 PM CET","18-24","Female","2","Fear","5","None of the above","Level 2 : Anger","Level 1 : Annoyance"
"2026/02/13 7:37:13 PM CET","18-24","Male","3","Fear","3","Level 1 : Annoyance","Level 2 : Anger","Level 3 : Rage"
"2026/02/13 8:27:19 PM CET","18-24","Female","4","Fear","5","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/13 8:51:38 PM CET","18-24","Male","1","Fear","5","Level 2 : Anger","Level 1 : Annoyance","Level 3 : Rage"
"2026/02/14 1:03:35 AM CET","25-34","Male","3","Fear","5","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/14 3:20:43 PM CET","25-34","Male","3","Fear","3","Level 1 : Annoyance","Level 2 : Anger","Level 3 : Rage"
"2026/02/14 4:32:40 PM CET","25-34","Female","2","Surprise","4","Level 1 : Annoyance","Level 3 : Rage","Level 3 : Rage"
"2026/02/14 5:11:45 PM CET","25-34","Male","1","Surprise","4","Level 1 : Annoyance","Level 2 : Anger","Level 3 : Rage"
"2026/02/14 5:46:19 PM CET","55-64","Male","4","Surprise","5","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/14 5:57:04 PM CET","18-24","Male","3","Fear","3","Level 1 : Annoyance","Level 2 : Anger","Level 3 : Rage"
"2026/02/14 6:05:14 PM CET","18-24","Male","5","Surprise","4","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/14 6:33:47 PM CET","18-24","Female","2","Fear","5","Level 1 : Annoyance","Level 1 : Annoyance","None of the above"
"2026/02/14 6:51:59 PM CET","65+","Male","1","Surprise","5","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/15 11:00:09 PM CET","25-34","Female","2","Fear","1","Level 1 : Annoyance","Level 3 : Rage","Level 2 : Anger"
"2026/02/18 7:32:44 PM CET","25-34","Male","5","Fear","4","Level 2 : Anger","Level 1 : Annoyance","Level 3 : Rage"
