"Informazioni cronologiche","Quanti anni hai?","Qual è il tuo genere?","Quanta familiarità hai con i robot?","Riesci a capire quale emozione sta cercando di esprimere il robot nel video?","Pensi che la reazione del robot sia coerente con l'azione dell'attore?","Che livello di RABBIA è mostrato in questa clip?","Che livello di RABBIA è mostrato in questa clip?","Che livello di RABBIA è mostrato in questa clip?"
"2026/02/14 8:09:24 PM CET","55-64","Donna","1","Sorpresa","4","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/14 8:16:51 PM CET","55-64","Donna","1","Sorpresa","5","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/14 8:27:47 PM CET","65+","Uomo","1","Sorpresa","4","Livello 1 : Irritazione","Livello 3 : Collera","Livello 3 : Collera"
"2026/02/14 8:48:48 PM CET","65+","Donna","2","Sorpresa","5","Livello 1 : Irritazione","Livello 3 : Collera","Livello 2 : Rabbia"
"2026/02/14 8:55:14 PM CET","65+","Donna","2","Paura","3","Livello 1 : Irritazione","Livello 3 : Collera","Livello 2 : Rabbia"
"2026/02/14 8:59:07 PM CET","18-24","Uomo","3","Paura","4","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/15 8:59:14 AM CET","45-54","Uomo","1","Paura","1","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/15 9:49:27 AM CET","55-64","Donna","1","Paura","3","Nessuna delle precedenti","Livello 3 : Collera","Livello 1 : Irritazione"
"2026/02/15 10:11:17 AM CET","55-64","Uomo","3","Paura","4","Livello 1 : Irritazione","Livello 1 : Irritazione","Livello 3 : Collera"
"2026/02/15 11:08:22 AM CET","55-64","Donna","3","Sorpresa","4","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/15 1:19:22 PM CET","25-34","Uomo","1","Paura","2","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/15 1:46:49 PM CET","55-64","Donna","1","Paura","4","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/15 6:16:17 PM CET","25-34","Donna","1","Paura","4","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/15 11:30:03 PM CET","55-64","Uomo","2","Paura","4","Livello 2 : Rabbia","Livello 1 : Irritazione","Livello 3 : Collera"
"2026/02/15 11:32:28 PM CET","55-64","Uomo","1","Paura","4","Nessuna delle precedenti","Livello 1 : Irritazione","Livello 3 : Collera"
"2026/02/16 12:24:14 PM CET","25-34","Uomo","1","Paura","2","Livello 1 : Irritazione","Livello 2 : Rabbia","Livello 3 : Collera"
"2026/02/17 12:40:15 PM CET","25-34","Uomo","3","Sorpresa","4","Livello 1 : Irritazione","Livello 3 : Collera","Livello 2 : Rabbia"
